"seed","dataset","model","bias_level","accuracy","error_rate","PR_gap","TPR_gap","Error_gap"
11,"simulated","logistic_regression","moderate",0.659,0.341,0.114,0.128556910569106,0.00999999999999995
11,"simulated","logistic_regression","severe",0.651,0.349,0.118,0.118680132113821,0.002
11,"simulated","decision_tree","balanced",0.652,0.348,0.14,0.0855881605691057,0.06
11,"simulated","decision_tree","mild",0.642,0.358,0.04,0.0289951727642277,0.016
11,"simulated","decision_tree","moderate",0.622,0.378,0.152,0.188611534552846,0.04
11,"simulated","decision_tree","severe",0.639,0.361,0.118,0.0791412601626016,0.042
11,"simulated","random_forest","balanced",0.645,0.355,0.146,0.191850863821138,0.042
11,"simulated","random_forest","mild",0.651,0.349,0.122,0.152470782520325,0.026
11,"simulated","random_forest","moderate",0.649,0.351,0.118,0.164189532520325,0.042
11,"simulated","random_forest","severe",0.649,0.351,0.082,0.0888592479674797,0.002
12,"simulated","logistic_regression","balanced",0.677,0.323,0.08,0.0844077077701532,0.014
12,"simulated","logistic_regression","mild",0.671,0.329,0.08,0.0847889374090247,0.01
12,"simulated","logistic_regression","moderate",0.677,0.323,0.064,0.07051015457129,0.01
12,"simulated","logistic_regression","severe",0.677,0.323,0.108,0.111371040410342,0.01
12,"simulated","decision_tree","balanced",0.655,0.345,0.012,0.0064982324807652,0.03
12,"simulated","decision_tree","mild",0.673,0.327,0.0720000000000001,0.0744957371594926,0.018
12,"simulated","decision_tree","moderate",0.649,0.351,0.14,0.139166146808068,0.018
12,"simulated","decision_tree","severe",0.67,0.33,0.078,0.0784293338878492,0.012
12,"simulated","random_forest","balanced",0.67,0.33,0.066,0.0804394538018992,0.004
12,"simulated","random_forest","mild",0.664,0.336,0.074,0.0617592014971928,0.024
12,"simulated","random_forest","moderate",0.662,0.338,0.082,0.0919456574478408,0.00800000000000001
12,"simulated","random_forest","severe",0.663,0.337,0.132,0.139530047826991,0.002
13,"simulated","logistic_regression","balanced",0.686,0.314,0.072,0.0290570175438597,0.028
13,"simulated","logistic_regression","mild",0.691,0.309,0.086,0.0510553728070176,0.018
13,"simulated","logistic_regression","moderate",0.689,0.311,0.094,0.0426946271929824,0.038
13,"simulated","logistic_regression","severe",0.688,0.312,0.08,0.0309758771929824,0.036
13,"simulated","decision_tree","balanced",0.676,0.324,0.116,0.0735334429824561,0.024
13,"simulated","decision_tree","mild",0.675,0.325,0.15,0.1171875,0.03
13,"simulated","decision_tree","moderate",0.625,0.375,0.162,0.144599780701754,0.038
13,"simulated","decision_tree","severe",0.675,0.325,0.166,0.137883771929825,0.014
13,"simulated","random_forest","balanced",0.679,0.321,0.094,0.044202302631579,0.034
13,"simulated","random_forest","mild",0.682,0.318,0.096,0.0515350877192983,0.028
13,"simulated","random_forest","moderate",0.681,0.319,0.126,0.0826480263157895,0.034
13,"simulated","random_forest","severe",0.696,0.304,0.064,0.00760690789473684,0.04
14,"simulated","logistic_regression","balanced",0.678,0.322,0.108,0.0853078835746672,0
14,"simulated","logistic_regression","mild",0.682,0.318,0.136,0.0986178148310662,0.016
14,"simulated","logistic_regression","moderate",0.681,0.319,0.13,0.0891838525669153,0.018
14,"simulated","logistic_regression","severe",0.683,0.317,0.13,0.0981058943981278,0.014
14,"simulated","decision_tree","balanced",0.668,0.332,0.184,0.154746233728243,0
14,"simulated","decision_tree","mild",0.675,0.325,0.162,0.141436302471844,0.01
14,"simulated","decision_tree","moderate",0.646,0.354,0.152,0.103371361708352,0.00800000000000001
14,"simulated","decision_tree","severe",0.67,0.33,0.036,0.047060114085125,0.036
14,"simulated","random_forest","balanced",0.68,0.32,0.16,0.135183560040954,0.004
