"seed","model","bias_level","delta_accuracy","delta_PR_gap","delta_TPR_gap","delta_Error_gap"
16,"decision_tree","moderate",0.00700000000000001,-0.086,-0.105191256830601,0.01
16,"decision_tree","severe",0.02,0.024,-0.0213546160483175,0.032
16,"random_forest","mild",-0.00700000000000001,0.026,0.0172562553925798,0.00999999999999995
16,"random_forest","moderate",0.004,0.016,0.0108570606844981,0.004
16,"random_forest","severe",-0.003,0.046,0.0509778544722462,-0.00600000000000001
17,"logistic_regression","mild",0.002,0.004,0.0194749694749694,-0.016
17,"logistic_regression","moderate",-0.00600000000000001,0.036,0.0583028083028082,-0.024
17,"logistic_regression","severe",0.00600000000000001,0.028,0.0468864468864468,-0.02
17,"decision_tree","mild",-0.012,0.0559999999999999,0.056043956043956,0
17,"decision_tree","moderate",0.011,-0.046,-0.0645299145299145,0.022
17,"decision_tree","severe",0.011,-0.0660000000000001,-0.0663003663003663,0.00600000000000006
17,"random_forest","mild",-0.005,0.00600000000000001,0.0354700854700855,-0.03
17,"random_forest","moderate",-0.0149999999999999,0.018,0.018986568986569,-0.002
17,"random_forest","severe",-0.0239999999999999,0.032,0.0342490842490842,-0.004
18,"logistic_regression","mild",0.00600000000000001,0.028,0.0161819058331993,0.012
18,"logistic_regression","moderate",0.001,0.01,0.00816326530612244,0.002
18,"logistic_regression","severe",0.003,0.0180000000000001,0.00960951309657709,0.01
18,"decision_tree","mild",-0.033,0.026,0.0534629599871445,0.00600000000000001
18,"decision_tree","moderate",-0.005,-0.094,-0.0863249236702556,-0.00600000000000006
18,"decision_tree","severe",-0.047,0.138,0.193829342760726,0.03
18,"random_forest","mild",-0.00800000000000001,0.00800000000000001,0.0119556484010926,0.004
18,"random_forest","moderate",-0.004,-0.032,-0.0408163265306123,0.00800000000000001
18,"random_forest","severe",-0.004,0.00400000000000011,0.0164711553912903,0.012
19,"logistic_regression","mild",0.005,-0.00600000000000001,-0.0171563920363614,-0.00999999999999995
19,"logistic_regression","moderate",0,0.016,0.0285833173292362,0.012
19,"logistic_regression","severe",-0.002,0.012,0.0249023750080021,0.012
19,"decision_tree","mild",0.004,0.028,0.0558222905063697,0.024
19,"decision_tree","moderate",-0.024,0.128,0.181966583445362,0.048
19,"decision_tree","severe",0.00600000000000001,0.028,0.0543179053837783,0.02
19,"random_forest","mild",0.003,-0.042,-0.061743806414442,-0.018
19,"random_forest","moderate",-0.00800000000000001,0.02,0.0121951219512195,-0.00800000000000001
19,"random_forest","severe",-0.01,-0.0120000000000001,-0.0182766788297804,-0.00800000000000001
20,"logistic_regression","mild",0.001,0.014,0.00213675213675213,-0.014
20,"logistic_regression","moderate",-0.002,0.04,0.0216727716727716,-0.02
20,"logistic_regression","severe",0.001,0.042,0.0427350427350426,0.002
20,"decision_tree","mild",0.003,-0.0619999999999999,-0.0564713064713064,0.002
20,"decision_tree","moderate",-0.00800000000000001,-0.00800000000000001,-0.0421245421245421,-0.04
20,"decision_tree","severe",-0.005,0.034,0.0103785103785103,-0.026
20,"random_forest","mild",0,0,0.00122100122100127,0
20,"random_forest","moderate",0.019,0.03,0.0302197802197802,-0.002
20,"random_forest","severe",0.00800000000000001,0.04,0.0479242979242979,0.00800000000000001
21,"logistic_regression","mild",-0.00299999999999989,0.022,0.0326173566603153,0.00600000000000001
21,"logistic_regression","moderate",0.002,0.00799999999999995,0.0105144638835961,0
21,"logistic_regression","severe",0.004,0.0120000000000001,0.0376927074311451,0.02
21,"decision_tree","mild",-0.001,-0.134,-0.123921704486402,0.022
21,"decision_tree","moderate",-0.002,-0.088,-0.0753680928460073,0.02
21,"decision_tree","severe",-0.00600000000000001,-0.0839999999999999,-0.0985103065996882,0.012
21,"random_forest","mild",0.00700000000000001,0.0260000000000001,0.0460245972631215,0.014
21,"random_forest","moderate",0.001,0.022,0.0344188463537156,0.01
21,"random_forest","severe",0.0129999999999999,0.0260000000000001,0.0289970552572321,-0.002
22,"logistic_regression","mild",-0.003,0.01,0.0097225823178636,0.002
22,"logistic_regression","moderate",0,-0.02,-0.0107272491573761,0
22,"logistic_regression","severe",-0.0169999999999999,-0.01,0.00129634430904846,-0.002
22,"decision_tree","mild",0.0599999999999999,0.044,-0.0250842623800881,0.00800000000000001
22,"decision_tree","moderate",0.049,0.026,0.00427793621986006,0.002
